STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-05-01,,,3.66,",,,0",61.2,",0",70.8,",,,0",51.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-06-01,,,5.13,",,,0",67.8,",0",78.0,",,,0",57.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-07-01,,,5.97,",,,0",77.4,",0",85.9,",,,0",69.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-08-01,,,6.21,",,,0",73.4,",0",82.1,",,,0",64.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-09-01,,,2.55,",,,0",159.9,",0",76.7,",,,0",55.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-10-01,,,3.85,",,,0",55.7,",0",64.6,",,,0",46.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-11-01,,,2.06,",,,0",46.6,",0",55.3,",,,0",37.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1958-12-01,,,1.13,",,,0",29.4,",0",36.8,",,,0",22.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-01-01,,,2.04,",,,0",31.5,",0",40.2,",,,0",22.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-02-01,,,1.6,",,,0",33.2,",0",41.8,",,,0",24.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-03-01,,,3.55,",,,0",,",0",51.0,",,,0",32.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-04-01,,,2.25,",,,0",54.8,",0",65.5,",,,0",44.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-05-01,,,0.8,",,,0",66.3,",0",77.3,",,,0",55.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-06-01,,,5.28,",,,0",72.2,",0",82.5,",,,0",61.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-07-01,,,7.48,",,,0",75.8,",0",84.3,",,,0",67.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1959-08-01,,,3.73,",,,0",76.5,",0",84.7,",,,0",68.2,",,,0"
